,year,site_number,N_mean,N_se,N_q025,N_q05,N_median,N_q95,N_q975,site_id,site_name,lat,lon,img_lat_mean,img_lon_mean,ccamlr_reg,ice_reg,p_ice_reg,MPA_current_name,MPA_proposed_name,in_MPA_current,in_MPA_any
59,2008,3,24459.87154,3957.649749,17740.74025,18697.21479,24082.78888,31541.03018,33392.06887,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
60,2008,4,597.7948201,104.9400789,411.997107,438.0654773,590.7998799,779.8798618,823.915762,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
61,2008,5,4696.079138,843.5760302,3160.145233,3385.679532,4659.368786,6139.270158,6491.529985,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
62,2008,6,6663.550401,1208.035302,4628.642412,4897.000626,6554.6105,8827.009844,9374.371115,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
63,2008,7,12416.78037,2095.681946,8742.457782,9285.451246,12269.34205,16083.56464,17025.84637,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
64,2009,1,1350.28812,219.9765428,983.9485915,1033.71067,1327.786604,1744.963971,1851.686432,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
65,2009,2,16001.966,3356.452998,10421.98151,11152.79605,15649.898,21958.86367,23596.25735,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
66,2009,3,23258.77529,3507.637292,17276.22364,18144.78202,22911.50657,29441.99185,31146.25908,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
67,2009,4,644.1834681,122.5202034,427.5887678,460.1231334,635.6957662,859.4421206,913.8255506,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
68,2009,5,5545.448868,907.9206009,4026.805123,4234.285188,5451.464397,7177.720366,7612.450887,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
69,2009,6,7158.029288,1141.724452,5235.408837,5497.91758,7039.778372,9171.565408,9710.997601,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
70,2009,7,11743.4437,2122.871561,7983.884145,8490.448734,11628.16156,15437.82799,16387.86007,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
71,2010,1,1353.215405,198.1109627,1017.491379,1062.792166,1334.480495,1705.631442,1795.723565,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
72,2010,2,17640.01087,3419.221492,12196.40721,12836.215,17220.20176,23874.91866,25587.39984,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
73,2010,3,22195.26719,2905.084563,17034.61331,17784.80855,22008.13747,27250.83736,28460.53465,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
74,2010,4,737.9024723,115.3961344,539.5557563,567.6193504,727.3672366,942.7045718,995.6615899,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
75,2010,5,6356.405705,988.0276152,4728.586031,4929.377312,6254.061209,8125.735892,8594.234311,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
76,2010,6,7040.274035,1019.675489,5315.321966,5550.939606,6941.634292,8875.268393,9329.196275,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
77,2010,7,11478.74546,2057.830928,7778.153435,8278.68396,11377.18009,15052.4053,15880.44682,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
78,2011,1,1153.736868,197.7570018,794.1607536,848.0258224,1143.50854,1495.646542,1572.242512,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
79,2011,2,19557.7668,3731.770507,13617.04173,14330.29922,19107.8901,26332.58084,28005.78869,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
80,2011,3,20865.86275,2143.57558,17092.68478,17638.57524,20708.98847,24617.48542,25509.14619,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
81,2011,4,788.3656584,125.9543444,573.5241035,602.2899247,776.859412,1010.629655,1065.973326,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
82,2011,5,6128.977707,949.624934,4557.506977,4756.905488,6032.369223,7857.329271,8286.169007,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
83,2011,6,6900.760653,983.9864314,5236.658236,5461.056841,6806.336887,8678.641549,9118.400094,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
84,2011,7,12816.01038,1916.946058,9552.722492,9987.708177,12636.39928,16254.06373,17053.34274,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
85,2012,1,1137.099236,198.5401247,783.9375351,834.4042833,1124.673377,1482.280632,1560.339986,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
86,2012,2,19808.74511,3722.655716,13769.41753,14565.08869,19394.48498,26493.62921,28310.76456,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
87,2012,3,23391.12733,3550.851495,17413.73069,18242.74494,23052.22151,29710.15288,31443.95563,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
88,2012,4,852.1990653,139.7573628,616.94312,649.9174178,837.0007535,1101.049561,1164.119774,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
89,2012,5,6147.530375,1062.791351,4401.674056,4634.147653,6036.284567,8057.09111,8549.743652,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
90,2012,6,6813.505985,983.5560829,5137.693116,5367.53937,6722.862988,8567.655749,9014.323821,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
91,2012,7,13529.23228,2385.960146,9624.214979,10135.8056,13264.08803,17825.07477,18962.4242,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
92,2013,1,1222.219573,198.3432959,880.7129432,927.1253049,1204.504508,1572.631721,1656.502293,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
93,2013,2,19497.21104,3799.019152,13509.102,14261.73169,19002.48252,26489.28518,28317.0386,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
94,2013,3,25161.05657,4438.625203,18062.89968,18984.36671,24602.7553,33271.1974,35382.97155,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
95,2013,4,847.2657615,163.207104,567.6599604,605.6527987,834.402215,1131.562852,1209.417499,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
96,2013,5,5831.99518,1078.440877,4078.047043,4302.394251,5705.194994,7772.588305,8302.949516,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
97,2013,6,6772.192382,1074.07017,4985.660255,5224.944264,6666.677924,8684.878866,9219.219078,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
98,2013,7,12969.12794,3284.997796,7657.203223,8970.217319,12840.14882,18110.78989,19499.52933,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
99,2014,1,1261.746559,224.8649771,894.4730181,942.4867006,1237.786962,1667.914852,1778.130125,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
100,2014,2,19346.62,4005.682481,13097.04038,13879.64142,18804.40376,26615.94912,28815.05952,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
101,2014,3,27396.62798,5130.650935,19244.90582,20271.10092,26718.76279,36820.42181,39346.9675,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
102,2014,4,881.8428226,175.3397368,584.2758212,623.5525018,868.3651699,1188.016668,1269.655696,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
103,2014,5,5001.407844,1216.271826,3035.085578,3264.07461,4863.880357,7175.67594,7750.751129,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
104,2014,6,6598.962014,1087.667091,4786.181915,5037.016144,6491.512905,8533.129436,9055.849061,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
105,2014,7,12852.76211,2595.949452,8616.66367,9194.67014,12542.39526,17542.5562,18755.8522,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
106,2015,1,1211.758447,248.0742671,807.6302118,860.2256228,1183.002479,1656.067069,1772.651211,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
107,2015,2,18083.74643,4744.021699,10892.48278,11743.10714,17425.73593,26618.28986,29206.23222,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
108,2015,3,24426.05972,5026.362557,16272.96412,17352.63429,23841.82114,33519.32847,36179.84623,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
109,2015,4,953.0996324,192.0142943,628.5546128,672.1420013,936.8201981,1289.03754,1378.114079,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
110,2015,5,4540.991035,1392.064929,2334.100252,2576.874372,4378.058576,7050.598286,7714.461784,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
111,2015,6,6379.15819,1135.984186,4502.713613,4753.67187,6261.713444,8413.999451,8952.918178,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
112,2015,7,12828.48028,2557.0504,8707.92428,9220.378052,12525.07548,17484.71461,18779.5768,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
113,2016,1,1236.218527,233.623753,839.4357948,890.7607229,1217.045298,1649.332125,1753.119926,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
114,2016,2,17113.05071,5848.504838,8386.357727,10036.97704,16464.49771,27049.32009,30509.92291,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
115,2016,3,22751.37793,4637.608629,15129.20273,16159.60363,22230.57564,31116.82914,33337.10836,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
116,2016,4,1051.998254,220.4038838,675.1318473,730.1062156,1031.897943,1438.504888,1536.65561,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
117,2016,5,4446.669748,1393.624391,2533.459368,2717.81575,4177.442556,7088.499966,7876.205931,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
118,2016,6,5826.486633,1231.298537,3747.717722,4012.235448,5718.269982,7983.564278,8547.809016,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
