"region","year","N_mean","N_se","N_q025","N_q05","N_median","N_q95","N_q975"
"East Indian Ocean",2017,9346.05596236039,4275.32475223966,5137.80988545752,5507.50101603299,8371.90792379991,16142.2714474871,19547.778546574
"East Indian Ocean",2018,8698.25695278446,4928.70902304182,4264.85186736294,4604.18485874158,7526.18792663116,16355.2015952254,20278.4159982842
"Victoria Oates Land",2009,65082.4279112554,9730.01243924204,49142.8873356126,51112.0038881896,64032.9210598282,82521.2760049892,87042.9389173012
"Victoria Oates Land",2010,60633.5717258151,6958.85010098813,48482.5703006964,50198.2657580475,60126.9733325348,72808.0225008903,75688.6990319311
"Victoria Oates Land",2011,61969.4256910998,5853.63019105064,51567.1922948479,52993.5752688181,61647.3288841178,72142.0455390976,74526.5515708299
"Victoria Oates Land",2012,68409.0388522229,9233.14082905309,52447.7515327716,54691.2274733757,67683.6139548956,84703.8028161607,88509.9406931859
"Victoria Oates Land",2013,71066.7780452388,10955.8667790285,52089.7155256204,54999.1798847372,70116.2455931723,90507.0303959198,95004.688386173
"Victoria Oates Land",2014,73985.2553387773,10185.2139485039,57157.2589065568,59254.3495430914,72935.7951754668,92229.9320765896,96802.5475539761
"Victoria Oates Land",2015,63715.2612241199,10596.0281701419,46514.5024087862,48777.4947841687,62561.8951107103,82713.3872829699,87762.8664978921
"Victoria Oates Land",2016,59374.3896164808,10298.1192929642,41543.3818874526,44122.0011115615,58486.8088228259,77401.8877416942,82427.9487789798
"Victoria Oates Land",2017,58584.86389222,10348.4556332155,40382.0687650334,43253.5413209255,57761.5881304979,76926.105703156,81408.1728804765
"Victoria Oates Land",2018,66159.3197244792,8850.26408693137,51168.7798855875,53191.6971641468,65394.0204815937,82001.4096641813,86113.0818246206
"Weddell Sea",2009,51651.3560580955,7626.99699084262,39097.4833764805,40669.3842063761,50864.4547202919,65204.6158346812,68758.9594355621
"Weddell Sea",2010,49589.7914563626,7012.96773850642,37491.9828053749,39123.8778167664,49002.3924563486,61849.6156687487,64812.1379773801
"Weddell Sea",2011,46436.0167368412,6358.66210038623,35927.7355927708,37301.684772719,45745.7499340535,57801.1038240282,60906.4183545072
"Weddell Sea",2012,46719.3354855549,6059.54350281355,36444.7736815872,37804.6491375697,46150.0025956576,57546.8125564978,60217.3772478935
"Weddell Sea",2013,42160.1529269566,5563.80822464586,32657.6001462406,33901.3872223693,41726.900575319,51951.4354996502,54335.8202967626
"Weddell Sea",2014,37718.6808649791,5103.57464517839,28877.9831888448,30079.0323340505,37273.2250183495,46773.5558585188,48922.9928720721
"Weddell Sea",2015,36699.9442509179,4942.74053460619,28255.9648042636,29392.2910027982,36288.4684852343,45319.6390624353,47622.4942412167
"Weddell Sea",2016,34901.4794382622,5573.39474074582,25235.6349156114,26619.2356045609,34461.4236684255,44614.6559759032,47096.9287695725
"Weddell Sea",2017,37238.1818743879,5957.73186780521,26977.7834985511,28448.4104539807,36715.0980671883,47660.762297693,50353.1455163559
"Weddell Sea",2018,41134.7620249348,6495.31172527343,30602.2150610657,31954.8860065456,40423.7147415244,52754.8666040423,56158.9647727648
"West Indian Ocean",2009,24908.6743495772,3382.35668639363,19268.5254020639,19983.3223218013,24604.1350554546,30917.8368034833,32441.0660634587
"West Indian Ocean",2010,18182.8104326448,2817.32937212286,13484.0863910825,14085.3276617298,17908.0956857567,23180.6632606952,24399.3172037855
"West Indian Ocean",2011,14150.1750865852,2569.11051582313,9873.04458485818,10411.8501371733,13886.6424733577,18718.9200658171,19855.0409143781
"West Indian Ocean",2012,13346.1464748296,2373.77993561772,9413.27198814072,9920.39081704849,13085.666146603,17592.2498277061,18728.6348569975
"West Indian Ocean",2013,14263.8803231252,2492.85195810801,10001.6116339294,10558.9554354301,14045.8023434161,18684.7390677469,19760.4243905777
"West Indian Ocean",2014,15232.0535210655,2523.05696439325,11058.4471488561,11597.7487579794,14986.2416459244,19701.9956187442,20855.7223674279
"West Indian Ocean",2015,15780.1882317715,2849.43759370166,11202.2260370081,11779.3366772138,15448.3863208381,20867.4231033536,22271.3136473182
"West Indian Ocean",2016,15757.9091916568,3685.57395422624,9804.63306150667,10587.1693334208,15320.6152768578,22371.4159478955,24178.2876130583
"West Indian Ocean",2017,17432.5592653412,4193.70385261466,11170.7882482566,11916.2095692652,16853.8271503023,24952.8714822707,27078.2650430844
"West Indian Ocean",2018,17868.3868712777,5636.52346390077,9409.17944573337,10553.4935293688,17040.4632941881,28005.0892265095,31206.2754088088
